,stnName,count,Lat,Lon
0,Jurong East Mrt Station,28,1.3331519532278349,103.7422862107588
1,Ang Mo Kio Mrt Station,27,1.369346637121707,103.84993266055184
2,City Hall Mrt Station,26,1.292935576178844,103.85258555900556
3,Bishan Mrt Station,25,1.3513080134489444,103.84915408568436
4,Raffles Place Mrt Station,25,1.2841249439059066,103.85146137875293
5,Joo Koon Mrt Station,21,1.3277165064270284,103.67837480986536
6,Choa Chu Kang Mrt Station,21,1.3853610261628218,103.74434061293658
7,Khatib Mrt Station,19,1.4173827034869275,103.83297957440541
8,Toa Payoh Mrt Station,19,1.332628320456141,103.84750143100314
9,Yio Chu Kang Mrt Station,19,1.3817553794462005,103.84494695641784
10,Boon Lay Mrt Station,19,1.3386033878378807,103.70606428946985
11,Pioneer Mrt Station,18,1.3375862155395857,103.69732117985001
12,Newton Mrt Station,18,1.313606435526509,103.83781066078993
13,Dhoby Ghaut Mrt Station,18,1.2987006399622905,103.8461148213397
14,Yishun Mrt Station,18,1.4294424141442492,103.83500471286109
15,Orchard Mrt Station,17,1.3039803457696473,103.83224111873473
16,Novena Mrt Station,17,1.3204401241807653,103.84382528547944
17,Somerset Mrt Station,17,1.3002593883981926,103.8390748290093
18,Braddell Mrt Station,17,1.3404710177840782,103.84679751207547
19,Bukit Gombak Mrt Station,15,1.3587611905951817,103.75189316881793
20,Bukit Batok Mrt Station,15,1.349033441910397,103.74956643059207
21,Buona Vista Mrt Station,14,1.3071827998803096,103.79019120185849
22,Marina Bay Mrt Station,14,1.276426688083278,103.85459744420403
23,Woodlands Mrt Station,13,1.4368744615444706,103.78648480159792
24,Yew Tee Mrt Station,13,1.397534351127437,103.74740478088702
25,Queenstown Mrt Station,12,1.2948602661277875,103.80588400056779
26,Sembawang Mrt Station,12,1.4490501545608727,103.82004580721939
27,Clementi Mrt Station,12,1.3149538257568942,103.76529854103686
28,Outram Park Mrt Station,11,1.2797638765153687,103.83957440788392
29,Admiralty Mrt Station,11,1.44058433441903,103.800987667492
30,Lakeside Mrt Station,10,1.3442585827289693,103.720948935296
31,Kranji Mrt Station,10,1.4251770321043908,103.76216507762184
32,Tanjong Pagar Mrt Station,10,1.2765205800256862,103.84586389601083
33,Paya Lebar Mrt Station,10,1.3181114156284863,103.89306002188542
34,Bugis Mrt Station,10,1.2995500790421979,103.85686799975572
35,Dover Mrt Station,9,1.3114046262584216,103.77863750833254
36,Marsiling Mrt Station,9,1.4325137539694672,103.77407112796614
37,Chinese Garden Mrt Station,9,1.3423521542087522,103.73259640485367
38,Commonwealth Mrt Station,9,1.3024380686600578,103.79830418230857
39,Redhill Mrt Station,8,1.2895620597351773,103.81681633682066
40,Eunos Mrt Station,7,1.3197782848869883,103.90325213335886
41,Tanah Merah Mrt Station,7,1.3271864678725516,103.94634612714073
42,Tiong Bahru Mrt Station,7,1.2861927261916632,103.82701909759243
43,Kallang Mrt Station,6,1.3114882429751198,103.87138620801176
44,Lavender Mrt Station,6,1.3073563534284387,103.8628288747638
45,Aljunied Mrt Station,6,1.3164319449909239,103.88290571130439
46,Phoenix Mrt Station,5,1.3786181777866464,103.7580337651123
47,Farrer Road Mrt Station,5,1.317509945228673,103.80758577242148
